City,State,Median Age,Male Population,Female Population,Total Population,Number of Veterans,Foreign-born,Average Household Size,State Code,Race,Count
Birmingham,Alabama,35.6,102122,112789,214911,13212,8258,2.21,AL,Hispanic or Latino,8940
Manchester,New Hampshire,37.3,54845,55378,110223,5473,14506,2.4,NH,Asian,4304
Portland,Oregon,36.7,313516,318671,632187,29940,86041,2.43,OR,Hispanic or Latino,61064
Anaheim,California,33.6,179603,171135,350738,9796,137133,3.45,CA,White,259820
Melbourne,Florida,43.4,39180,40956,80136,8363,9685,2.37,FL,Hispanic or Latino,6060
Columbus,Georgia,33.7,98785,101794,200579,21747,10376,2.62,GA,Black or African-American,95366
Bend,Oregon,37.3,42294,44723,87017,6199,3032,2.39,OR,Asian,2726
Palm Coast,Florida,48.8,39489,42632,82121,7950,9084,2.76,FL,White,67272
Danbury,Connecticut,37.3,43435,41227,84662,3752,25675,2.74,CT,White,55917
San Angelo,Texas,32.8,49669,50744,100413,8412,7859,2.5,TX,Hispanic or Latino,42494
Harlingen,Texas,30.1,32404,33365,65769,2761,10391,3,TX,Hispanic or Latino,51727
New York,New York,36,4081698,4468707,8550405,156961,3212500,2.68,NY,Black or African-American,2192248
Rochester Hills,Michigan,41.2,36356,37076,73432,3053,13708,2.66,MI,White,62170
Frisco,Texas,37.2,73989,80399,154388,6297,30913,3.05,TX,Asian,30341
Bay,Texas,32.9,37977,37508,75485,3478,13192,2.59,TX,Black or African-American,16782
Clearwater,Florida,47,55225,57754,112979,10631,17686,2.4,FL,Asian,2434
Saint Cloud,Minnesota,30.7,34311,33942,68253,5012,5757,2.41,MN,Asian,2494
Hillsboro,Oregon,35.3,50926,51434,102360,6625,19531,2.68,OR,Hispanic or Latino,22169
Dallas,Texas,32.6,639019,661063,1300082,41026,326825,2.59,TX,Hispanic or Latino,549966
Westminster,Colorado,37.8,54866,58251,113117,6512,11361,2.63,CO,White,100084
Charleston,South Carolina,35,63956,71568,135524,9368,5767,2.4,SC,Black or African-American,29998
Chula Vista,California,34.6,131485,134269,265754,12368,82710,3.32,CA,White,183753
Santa Ana,California,30.8,167503,167920,335423,4735,152999,4.58,CA,American Indian and Alaska Native,4838
Edmond,Oklahoma,32.5,45191,44899,90090,5006,5585,2.68,OK,Black or African-American,4987
Cicero,Illinois,28.5,43153,40714,83867,629,33801,3.89,IL,Black or African-American,2865
Flagstaff,Arizona,23.9,33224,37093,70317,3667,4262,2.55,AZ,Hispanic or Latino,13606
Roswell,Georgia,38.8,48637,45859,94496,3325,16501,2.7,GA,White,69857
Nashville,Tennessee,34.1,314231,340365,654596,27942,88193,2.39,TN,American Indian and Alaska Native,5474
Centreville,Virginia,36,34749,37033,71782,3779,27797,2.97,VA,White,39129
Glendale,California,42.1,98181,102844,201025,4448,111510,2.69,CA,Hispanic or Latino,30807
Sandy Springs,Georgia,35.4,48570,56777,105347,3015,19837,2.4,GA,American Indian and Alaska Native,1574
Shreveport,Louisiana,35.2,93138,103856,196994,14287,5658,2.53,LA,Asian,4033
Chino,California,36.5,50989,34610,85599,4186,18666,3.62,CA,Black or African-American,6815
Tucson,Arizona,33.6,264893,266781,531674,38182,82220,2.45,AZ,Hispanic or Latino,231025
Boca Raton,Florida,47.3,44760,48466,93226,4367,21117,2.22,FL,Black or African-American,4527
Ontario,California,31,85059,86141,171200,4816,48557,3.52,CA,White,74765
Mount Vernon,New York,38.5,31876,36745,68621,2064,23777,2.85,NY,Black or African-American,49830
Goodyear,Arizona,38.6,36711,42292,79003,7650,11774,2.97,AZ,White,63493
Denton,Texas,28.7,62478,68569,131047,6352,18451,2.66,TX,Black or African-American,15542
Temple,Texas,33.6,33512,38785,72297,7333,3968,2.59,TX,Hispanic or Latino,21372
Atlanta,Georgia,33.8,223960,239915,463875,18572,32016,2.15,GA,American Indian and Alaska Native,4606
Fresno,California,30,256130,263942,520072,18410,103453,3.12,CA,White,325651
Visalia,California,32.6,63695,66399,130094,5547,20779,3.11,CA,White,107322
Billings,Montana,36.3,52705,57565,110270,9121,3206,2.4,MT,American Indian and Alaska Native,6066
Rockville,Maryland,38.1,31205,35793,66998,1990,25047,2.6,MD,Asian,17370
Salem,Oregon,35.4,80839,83704,164543,9685,19668,2.69,OR,American Indian and Alaska Native,7678
Palmdale,California,32.6,76361,81989,158350,6388,41974,3.54,CA,American Indian and Alaska Native,2800
Oakland,California,35.7,203827,215451,419278,12159,113896,2.56,CA,Asian,75446
Fremont,California,38.3,114383,117808,232191,4629,109427,3.12,CA,Asian,141953
Richmond,California,35.3,52615,57100,109715,3611,42215,2.87,CA,White,36074
Dale City,Virginia,33.4,35984,35415,71399,6085,22306,3.65,VA,Black or African-American,18074
Palatine,Illinois,38,36506,32763,69269,2629,21760,2.69,IL,Hispanic or Latino,18626
Lynchburg,Virginia,28.7,38614,41198,79812,4322,4364,2.48,VA,Asian,2910
Westminster,California,42.9,45538,46573,92111,3435,42227,3.27,CA,Black or African-American,2270
Palm Bay,Florida,40.7,51767,56128,107895,10942,12070,2.82,FL,Hispanic or Latino,16841
New Britain,Connecticut,33.4,37350,35459,72809,2219,15080,2.52,CT,Hispanic or Latino,30188
Lubbock,Texas,29.2,122320,126731,249051,10588,14226,2.61,TX,American Indian and Alaska Native,7627
Fort Smith,Arkansas,34.9,43346,44849,88195,3408,13177,2.44,AR,Hispanic or Latino,17104
West Valley City,Utah,30.7,68235,67989,136224,4880,30712,3.81,UT,White,89145
Concord,California,39.6,62310,66358,128668,6287,37428,2.72,CA,Hispanic or Latino,41400
Merced,California,29.7,40048,42392,82440,3723,16348,3.15,CA,Black or African-American,6464
Grand Rapids,Michigan,32.1,95669,99430,195099,8972,19176,2.56,MI,Hispanic or Latino,31282
Enterprise,Nevada,34.1,69146,66328,135474,7526,31173,2.89,NV,Asian,35444
Perris,California,26.9,41623,33336,74959,1321,23277,4.78,CA,Hispanic or Latino,54398
Fayetteville,North Carolina,30.7,101051,100914,201965,28089,12863,2.5,NC,Asian,8949
Apple Valley,California,34.3,32873,39312,72185,5714,5801,3.03,CA,White,60767
Killeen,Texas,29.2,69442,71367,140809,24281,15769,2.72,TX,American Indian and Alaska Native,2362
Gulfport,Mississippi,35.1,33108,38764,71872,6646,3072,2.54,MS,Black or African-American,27799
The Villages,Florida,70.5,,,72590,15231,4034,,FL,Hispanic or Latino,1066
Eagan,Minnesota,36.8,31587,34701,66288,2699,8642,2.49,MN,Asian,6923
Albany,Georgia,33.3,31695,39414,71109,5409,861,2.38,GA,Black or African-American,53440
Washington,District of Columbia,33.8,319705,352523,672228,25963,95117,2.24,DC,American Indian and Alaska Native,6130
New Orleans,Louisiana,35.9,185736,203881,389617,17388,21679,2.41,LA,White,140314
Boise,Idaho,34.9,110099,108181,218280,16004,13409,2.61,ID,Black or African-American,4413
Arden-Arcade,California,41.5,47596,48680,96276,6511,13458,2.18,CA,Asian,7355
Fargo,North Dakota,30.7,60560,58690,119250,6154,9428,2.18,ND,Black or African-American,6477
El Cajon,California,32.7,54450,49238,103688,7103,31865,3.14,CA,Black or African-American,7534
Lorain,Ohio,35.6,30844,32807,63651,4905,1531,2.52,OH,American Indian and Alaska Native,904
Cicero,Illinois,28.5,43153,40714,83867,629,33801,3.89,IL,Asian,1193
Portsmouth,Virginia,33.6,45900,50301,96201,10261,1815,2.54,VA,Black or African-American,52972
Decatur,Illinois,40.4,34646,38210,72856,5291,1224,2.23,IL,Black or African-American,17939
Mesquite,Texas,34.6,69240,75884,145124,6438,26755,2.96,TX,Asian,4496
West Covina,California,39.8,51629,56860,108489,3800,37038,3.56,CA,White,48046
Compton,California,30.1,49264,49184,98448,897,30660,4.08,CA,American Indian and Alaska Native,298
Fort Lauderdale,Florida,42.8,93948,84639,178587,8897,47582,2.38,FL,White,109751
Redlands,California,36.2,33993,37035,71028,3445,8681,2.82,CA,American Indian and Alaska Native,811
Missoula,Montana,34.7,35002,36022,71024,4733,2771,2.15,MT,Asian,2292
Jackson,Mississippi,31.7,79039,91772,170811,8146,1789,2.65,MS,American Indian and Alaska Native,323
Maple Grove,Minnesota,38.6,31780,36601,68381,2943,7645,2.64,MN,Asian,6088
Muncie,Indiana,27.4,32446,37255,69701,2968,1062,2.35,IN,American Indian and Alaska Native,203
Kennewick,Washington,32,38492,40411,78903,5158,8376,2.78,WA,Black or African-American,2887
Rio Rancho,New Mexico,38.3,47251,46904,94155,8527,5200,2.86,NM,Black or African-American,3970
Columbia,South Carolina,28,67686,65707,133393,5708,6074,2.32,SC,Black or African-American,56398
Vacaville,California,35.8,50091,46703,96794,9064,10577,2.9,CA,American Indian and Alaska Native,3140
Temecula,California,34.2,54407,57619,112026,7587,18884,3.34,CA,White,85130
Saint George,Utah,37.3,38732,41475,80207,4443,4824,2.81,UT,White,71915
San Diego,California,34.5,693826,701081,1394907,92489,373842,2.73,CA,White,949388
Hammond,Indiana,36,38923,38687,77610,4144,9224,2.61,IN,White,41705
Somerville,Massachusetts,31,41028,39306,80334,2103,22292,2.43,MA,American Indian and Alaska Native,374
Victorville,California,30.6,60989,61247,122236,7484,21959,3.47,CA,Black or African-American,26747
Lehigh Acres,Florida,34.3,57856,61624,119480,5551,31880,3.55,FL,Hispanic or Latino,42092
Trenton,New Jersey,33.3,42581,41650,84231,2604,20428,3.04,NJ,Hispanic or Latino,30613
Odessa,Texas,31.2,61119,57861,118980,5509,15845,2.92,TX,Black or African-American,7647
High Point,North Carolina,35.5,51751,58077,109828,5204,16315,2.65,NC,American Indian and Alaska Native,1181
Folsom,California,40.9,41051,35317,76368,4187,13234,2.62,CA,Black or African-American,3985
Springfield,Illinois,38.8,55639,62170,117809,7525,4264,2.22,IL,Hispanic or Latino,2738
Costa Mesa,California,34.8,59097,54089,113186,4095,26645,2.59,CA,Black or African-American,2925
West Valley City,Utah,30.7,68235,67989,136224,4880,30712,3.81,UT,Asian,9550
San Diego,California,34.5,693826,701081,1394907,92489,373842,2.73,CA,American Indian and Alaska Native,16496
Chicago,Illinois,34.2,1320015,1400541,2720556,72042,573463,2.53,IL,Black or African-American,873316
Orlando,Florida,33.1,130940,139977,270917,12782,50558,2.42,FL,American Indian and Alaska Native,2374
Peoria,Illinois,33.1,56229,62432,118661,6634,7517,2.4,IL,Hispanic or Latino,6874
Frisco,Texas,37.2,73989,80399,154388,6297,30913,3.05,TX,American Indian and Alaska Native,2947
Bakersfield,California,30.6,182154,191473,373627,12284,71575,3.23,CA,American Indian and Alaska Native,7357
Asheville,North Carolina,37.9,42100,46407,88507,4973,6630,2.18,NC,Black or African-American,9078
Waldorf,Maryland,33.6,35640,39872,75512,6932,5954,2.69,MD,Asian,4100
Garden Grove,California,37.8,86779,88605,175384,4316,80677,3.66,CA,Hispanic or Latino,66038
Lakewood,California,39.9,41523,40069,81592,4094,18274,3.13,CA,White,43766
Arlington,Virginia,34.4,113981,115183,229164,12719,55205,2.19,VA,Black or African-American,22372
Palo Alto,California,40.2,31451,35397,66848,2025,23348,2.55,CA,Hispanic or Latino,3496
Whittier,California,36.1,44397,43039,87436,2790,17145,3.11,CA,Black or African-American,1262
The Woodlands,Texas,38.8,56083,63061,119144,8351,21188,2.93,TX,Asian,8828
Kennewick,Washington,32,38492,40411,78903,5158,8376,2.78,WA,Hispanic or Latino,19395
Salt Lake City,Utah,32.1,98364,94296,192660,6829,32166,2.38,UT,Asian,13153
Tyler,Texas,33.9,50422,53283,103705,4813,8225,2.59,TX,Black or African-American,26156
Broken Arrow,Oklahoma,36.8,52136,55459,107595,6797,6845,2.77,OK,Hispanic or Latino,9191
Sparks,Nevada,36.1,47780,48318,96098,7315,15690,2.63,NV,Black or African-American,4226
Arlington,Texas,32.6,191060,197062,388122,17050,79271,2.89,TX,White,251155
Flint,Michigan,35.3,48984,49313,98297,3757,2138,2.38,MI,Asian,657
Murrieta,California,35.3,49363,60453,109816,7242,19875,3.3,CA,Hispanic or Latino,32944
Albany,Georgia,33.3,31695,39414,71109,5409,861,2.38,GA,American Indian and Alaska Native,445
Richmond,Virginia,33.6,104793,115496,220289,12538,15741,2.29,VA,White,104568
Roswell,Georgia,38.8,48637,45859,94496,3325,16501,2.7,GA,Asian,7240
Bend,Oregon,37.3,42294,44723,87017,6199,3032,2.39,OR,Hispanic or Latino,8173
South Jordan,Utah,33.8,33669,32970,66639,2595,6142,3.61,UT,Hispanic or Latino,4672
Cleveland,Ohio,36,186436,201623,388059,19849,18830,2.24,OH,Black or African-American,205395
Grand Rapids,Michigan,32.1,95669,99430,195099,8972,19176,2.56,MI,Asian,6057
Newark,New Jersey,34.6,138040,143873,281913,5829,86253,2.73,NJ,Black or African-American,144961
Lexington-Fayette  county,Kentucky,34.4,154032,160456,314488,16661,28613,2.34,KY,Asian,14066
Scottsdale,Arizona,46.9,115712,121132,236844,16798,27207,2.17,AZ,Black or African-American,5279
Scranton,Pennsylvania,38.5,37975,39137,77112,5059,8069,2.39,PA,White,66875
San Juan,Puerto Rico,41.4,155408,186829,342237,,,,PR,Asian,2452
Simi Valley,California,39,63243,63523,126766,6063,23260,3.13,CA,White,107898
Redwood City,California,37.1,42676,42624,85300,2430,27652,2.64,CA,Hispanic or Latino,29011
Santa Barbara,California,37.8,45068,46784,91852,4518,19441,2.51,CA,White,73659
Lawrence,Kansas,27.4,45592,48324,93916,2986,8701,2.53,KS,White,79793
Aurora,Illinois,31.7,101964,101751,203715,4988,50980,3.3,IL,Black or African-American,23736
Merced,California,29.7,40048,42392,82440,3723,16348,3.15,CA,Asian,9911
Redwood City,California,37.1,42676,42624,85300,2430,27652,2.64,CA,American Indian and Alaska Native,664
Conroe,Texas,31.5,34907,33685,68592,4871,13839,2.65,TX,Black or African-American,6713
Columbus,Georgia,33.7,98785,101794,200579,21747,10376,2.62,GA,Asian,7039
Dale City,Virginia,33.4,35984,35415,71399,6085,22306,3.65,VA,Asian,9251
Jersey City,New Jersey,34.3,131765,132512,264277,4374,109186,2.57,NJ,Asian,67610
Irvine,California,34.6,125411,131516,256927,5532,116366,2.73,CA,Asian,126499
Fargo,North Dakota,30.7,60560,58690,119250,6154,9428,2.18,ND,Hispanic or Latino,3567
Portland,Maine,40.3,31480,35392,66872,3666,9229,2.13,ME,American Indian and Alaska Native,662
Auburn,Washington,37.1,36837,39743,76580,5401,14842,2.73,WA,White,58293
Longmont,Colorado,36.8,43941,48280,92221,4925,10424,2.63,CO,Hispanic or Latino,24846
Oshkosh,Wisconsin,33,32905,33652,66557,3809,2348,2.3,WI,Asian,3182
Salem,Oregon,35.4,80839,83704,164543,9685,19668,2.69,OR,White,148650
Livonia,Michigan,47.4,45369,49264,94633,5397,7175,2.52,MI,American Indian and Alaska Native,445
West Jordan,Utah,30.8,57898,54044,111942,3577,11492,3.46,UT,American Indian and Alaska Native,1211
Pembroke Pines,Florida,40.3,77050,89574,166624,6849,62210,2.94,FL,White,113624
Inglewood,California,34.9,52995,58661,111656,2703,34171,3.12,CA,Asian,2712
Baldwin Park,California,35.8,38747,38309,77056,780,34322,4.13,CA,Asian,15505
Brockton,Massachusetts,35.2,46273,49041,95314,3036,27313,2.88,MA,Black or African-American,43646
Pharr,Texas,26.9,35242,41293,76535,1376,25532,3.67,TX,Black or African-American,204
San Juan,Puerto Rico,41.4,155408,186829,342237,,,,PR,American Indian and Alaska Native,4031
Lawrence,Massachusetts,30.8,37464,42776,80240,1190,29170,3.17,MA,Hispanic or Latino,63175
Beaumont,Texas,31.6,57326,60784,118110,7584,10516,2.47,TX,American Indian and Alaska Native,908
Glendale,Arizona,34.4,116795,123319,240114,13241,44133,2.89,AZ,White,202539
Tampa,Florida,35.3,175517,193511,369028,20636,58795,2.47,FL,Hispanic or Latino,95154
Mesa,Arizona,36.9,234998,236835,471833,31808,57492,2.68,AZ,American Indian and Alaska Native,16044
Warren,Michigan,43.2,64063,71293,135356,7806,18822,2.45,MI,White,96357
Savannah,Georgia,30.3,69389,76295,145684,9717,10355,2.57,GA,American Indian and Alaska Native,2116
Miramar,Florida,36.6,66157,70958,137115,3077,57179,3.41,FL,Hispanic or Latino,46767
Colorado Springs,Colorado,34.8,225544,231018,456562,49291,35320,2.48,CO,Hispanic or Latino,78711
Suffolk,Virginia,38.2,43048,45113,88161,10114,2829,2.72,VA,Hispanic or Latino,3539
Fort Worth,Texas,32.6,414126,422843,836969,39182,143404,2.88,TX,American Indian and Alaska Native,7504
Urban Honolulu,Hawaii,41.4,176807,175959,352766,23213,101312,2.69,HI,Asian,240978
Rapid City,South Dakota,39.5,36122,37446,73568,7429,2375,2.31,SD,White,63983
Providence,Rhode Island,29.9,89090,90114,179204,4933,53532,2.72,RI,White,97885
Boise,Idaho,34.9,110099,108181,218280,16004,13409,2.61,ID,American Indian and Alaska Native,4046
Murfreesboro,Tennessee,30.2,60704,65417,126121,5199,8948,2.6,TN,Hispanic or Latino,8840
Arden-Arcade,California,41.5,47596,48680,96276,6511,13458,2.18,CA,Hispanic or Latino,15273
Dale City,Virginia,33.4,35984,35415,71399,6085,22306,3.65,VA,Hispanic or Latino,23868
South Bend,Indiana,32.4,50483,53274,103757,3708,8779,2.72,IN,Black or African-American,30005
Napa,California,37.2,39828,40601,80429,4678,18449,2.84,CA,American Indian and Alaska Native,1751
Champaign,Illinois,28.7,43326,42760,86086,3734,12261,2.25,IL,Hispanic or Latino,4015
Inglewood,California,34.9,52995,58661,111656,2703,34171,3.12,CA,White,33966
Springdale,Arkansas,31.8,36840,43614,80454,3397,19969,3.04,AR,Hispanic or Latino,30200
Charlotte,North Carolina,34.3,396646,430475,827121,36046,128897,2.52,NC,Asian,55399
Houston,Texas,32.6,1149686,1148942,2298628,71898,696210,2.66,TX,Black or African-American,529431
Columbia,Missouri,26.8,56544,62554,119098,4548,10729,2.37,MO,American Indian and Alaska Native,1713
Antioch,California,34,54733,55809,110542,5681,24942,3.31,CA,Asian,14333
Topeka,Kansas,37.1,60879,66378,127257,9608,6711,2.32,KS,Asian,3127
Johns Creek,Georgia,39,40282,43057,83339,1983,29000,3.19,GA,Asian,24289
Broken Arrow,Oklahoma,36.8,52136,55459,107595,6797,6845,2.77,OK,White,94366
Jersey City,New Jersey,34.3,131765,132512,264277,4374,109186,2.57,NJ,American Indian and Alaska Native,3356
O'Fallon,Missouri,36,41762,43270,85032,5783,3269,2.77,MO,Asian,3447
Tulsa,Oklahoma,35,197437,205654,403091,24672,43751,2.37,OK,American Indian and Alaska Native,42129
Portland,Oregon,36.7,313516,318671,632187,29940,86041,2.43,OR,Black or African-American,45914
Weston,Florida,38.6,32956,36991,69947,1507,30876,3.34,FL,Black or African-American,3697
Redding,California,38.8,42530,49049,91579,6926,5181,2.42,CA,Hispanic or Latino,9143
Nampa,Idaho,31.4,45651,44199,89850,4736,6607,2.98,ID,Asian,1486
Kenner,Louisiana,36.9,33993,33113,67106,2485,12352,2.57,LA,White,44863
Fall River,Massachusetts,39.3,43314,45456,88770,4143,14775,2.21,MA,American Indian and Alaska Native,1481
Beaverton,Oregon,35.6,47325,49252,96577,4645,18933,2.46,OR,White,80975
Flower Mound,Texas,40.2,35200,35824,71024,4217,6860,3.01,TX,Hispanic or Latino,6149
Redlands,California,36.2,33993,37035,71028,3445,8681,2.82,CA,White,55241
Dearborn,Michigan,33.5,46482,48698,95180,3163,23920,3.04,MI,American Indian and Alaska Native,713
Colorado Springs,Colorado,34.8,225544,231018,456562,49291,35320,2.48,CO,American Indian and Alaska Native,11146
Bolingbrook,Illinois,33.7,36295,35801,72096,2951,15212,3.42,IL,American Indian and Alaska Native,323
Parma,Ohio,40.8,38425,41518,79943,5028,6909,2.42,OH,Asian,974
Ames,Iowa,23,33814,31238,65052,2265,8606,2.16,IA,Black or African-American,1103
Alameda,California,41.4,37747,40867,78614,4504,18841,2.52,CA,Asian,27984
Durham,North Carolina,33.2,121153,136445,257598,12528,38642,2.4,NC,Black or African-American,108088
Bellevue,Washington,37.4,70763,69051,139814,5382,54654,2.43,WA,Asian,52223
Charleston,South Carolina,35,63956,71568,135524,9368,5767,2.4,SC,Asian,2773
New York,New York,36,4081698,4468707,8550405,156961,3212500,2.68,NY,Asian,1304564
Pine Hills,Florida,29.2,35344,40737,76081,2594,20735,3.3,FL,Hispanic or Latino,10496
Hemet,California,36.8,38622,45251,83873,5613,13330,2.97,CA,White,67817
Vacaville,California,35.8,50091,46703,96794,9064,10577,2.9,CA,Black or African-American,18023
Flint,Michigan,35.3,48984,49313,98297,3757,2138,2.38,MI,Hispanic or Latino,2525
Erie,Pennsylvania,35.3,48618,50852,99470,7093,6275,2.31,PA,Hispanic or Latino,7859
Chesapeake,Virginia,36.7,114964,120465,235429,29772,13966,2.73,VA,White,150414
Long Beach,California,34.6,238159,236013,474172,17463,127764,2.78,CA,Black or African-American,64948
Norfolk,Virginia,30.2,128917,117476,246393,29445,16702,2.51,VA,Hispanic or Latino,18760
McKinney,Texas,35.6,77339,85548,162887,8082,25760,2.91,TX,White,129192
Casas Adobes,Arizona,44.8,30890,34375,65265,6601,7024,2.24,AZ,American Indian and Alaska Native,2047
Oshkosh,Wisconsin,33,32905,33652,66557,3809,2348,2.3,WI,Black or African-American,2778
Kansas City,Kansas,33.4,74606,76655,151261,8139,25507,2.71,KS,White,96113
High Point,North Carolina,35.5,51751,58077,109828,5204,16315,2.65,NC,Asian,11060
Cedar Rapids,Iowa,36.2,63109,67296,130405,7823,5404,2.32,IA,White,116851
Santa Fe,New Mexico,44.1,40601,43511,84112,5083,13824,2.41,NM,Hispanic or Latino,45884
Alameda,California,41.4,37747,40867,78614,4504,18841,2.52,CA,American Indian and Alaska Native,1329
Bossier City,Louisiana,32.7,33428,34669,68097,8108,2980,2.4,LA,Asian,2175
Livermore,California,36.7,41522,46595,88117,3063,13959,2.91,CA,Asian,14116
Round Rock,Texas,34.9,56646,59193,115839,6804,18237,3.13,TX,Asian,9685
New Britain,Connecticut,33.4,37350,35459,72809,2219,15080,2.52,CT,Black or African-American,9873
Arvada,Colorado,41,54870,60165,115035,8930,4921,2.49,CO,Asian,2922
Aurora,Illinois,31.7,101964,101751,203715,4988,50980,3.3,IL,White,115903
Vacaville,California,35.8,50091,46703,96794,9064,10577,2.9,CA,Hispanic or Latino,23395
Kenner,Louisiana,36.9,33993,33113,67106,2485,12352,2.57,LA,American Indian and Alaska Native,158
Virginia Beach,Virginia,35.4,222684,230061,452745,54995,38360,2.61,VA,Hispanic or Latino,36309
Cedar Rapids,Iowa,36.2,63109,67296,130405,7823,5404,2.32,IA,Hispanic or Latino,5328
Norwalk,Connecticut,42.4,40880,47603,88483,2877,22328,2.7,CT,Black or African-American,15129
Warner Robins,Georgia,31.4,35093,38909,74002,6974,3210,2.5,GA,American Indian and Alaska Native,1309
Chattanooga,Tennessee,36.6,83640,92957,176597,10001,10599,2.4,TN,American Indian and Alaska Native,1092
Centennial,Colorado,42.4,53222,56504,109726,7226,9501,2.66,CO,American Indian and Alaska Native,1219
Auburn,Washington,37.1,36837,39743,76580,5401,14842,2.73,WA,American Indian and Alaska Native,3042
Pasadena,California,37.6,67712,74534,142246,4618,40779,2.63,CA,Hispanic or Latino,52717
Daly City,California,39.7,53817,52757,106574,3782,56640,3.26,CA,White,25522
Boulder,Colorado,29,56342,51000,107342,4061,12993,2.24,CO,Black or African-American,1615
Gulfport,Mississippi,35.1,33108,38764,71872,6646,3072,2.54,MS,Asian,1723
Davenport,Iowa,35.2,50123,52454,102577,7090,4065,2.39,IA,Black or African-American,12761
Elgin,Illinois,35.7,54852,56224,111076,4024,30167,2.97,IL,Black or African-American,7528
Columbia,South Carolina,28,67686,65707,133393,5708,6074,2.32,SC,Hispanic or Latino,7545
Flagstaff,Arizona,23.9,33224,37093,70317,3667,4262,2.55,AZ,Asian,2646
Fullerton,California,34.5,69549,71300,140849,5394,43404,2.97,CA,American Indian and Alaska Native,1668
Carrollton,Texas,36.9,66928,66218,133146,5720,35327,2.78,TX,Black or African-American,10923
Bryan,Texas,29.4,41761,40345,82106,3602,12014,2.55,TX,White,59742
Rancho Cucamonga,California,34.5,88127,87105,175232,5821,33878,3.18,CA,Asian,24519
Vancouver,Washington,37.2,82958,89895,172853,12391,21748,2.49,WA,American Indian and Alaska Native,4541
Southfield,Michigan,41.6,31369,41808,73177,4035,4011,2.27,MI,White,18296
Abilene,Texas,31.3,65212,60664,125876,9367,8129,2.64,TX,American Indian and Alaska Native,1813
Lawton,Oklahoma,31.1,51099,45560,96659,11572,6123,2.72,OK,American Indian and Alaska Native,10027
Arden-Arcade,California,41.5,47596,48680,96276,6511,13458,2.18,CA,White,69369
Denver,Colorado,34.1,341137,341408,682545,29363,113222,2.33,CO,Black or African-American,72288
Jurupa Valley,California,33.8,49430,50884,100314,3833,25338,3.87,CA,Hispanic or Latino,66525
Omaha,Nebraska,34.2,218789,225098,443887,24503,48263,2.47,NE,American Indian and Alaska Native,6318
Centreville,Virginia,36,34749,37033,71782,3779,27797,2.97,VA,Hispanic or Latino,9613
Tuscaloosa,Alabama,29.1,47293,51045,98338,3647,4706,2.67,AL,Asian,2733
Ogden,Utah,31.3,44323,41127,85450,5080,12791,2.68,UT,Black or African-American,2620
Alhambra,California,41,42184,43388,85572,1673,44441,2.89,CA,White,20811
Olathe,Kansas,33,65046,69270,134316,6042,11913,2.97,KS,Hispanic or Latino,16131
Frederick,Maryland,36.1,33146,36336,69482,3870,14211,2.48,MD,Hispanic or Latino,13065
Meridian,Idaho,38,43353,47400,90753,5640,8110,2.54,ID,American Indian and Alaska Native,492
Downey,California,37.3,53006,61205,114211,2281,39977,3.45,CA,Black or African-American,5498
Lynwood,California,29.4,35634,36371,72005,776,28061,4.43,CA,White,48670
Redondo Beach,California,43,34855,33330,68185,3014,13536,2.34,CA,Hispanic or Latino,8858
Worcester,Massachusetts,34.9,90951,93855,184806,9408,36907,2.43,MA,Hispanic or Latino,39000
Redlands,California,36.2,33993,37035,71028,3445,8681,2.82,CA,Hispanic or Latino,19698
German,Maryland,34.9,41115,43007,84122,2443,27877,2.95,MD,Black or African-American,22273
Temple,Texas,33.6,33512,38785,72297,7333,3968,2.59,TX,American Indian and Alaska Native,1615
Athens-Clarke County unified government,Georgia,26.5,57415,65148,122563,3953,12868,2.44,GA,Hispanic or Latino,13159
Fullerton,California,34.5,69549,71300,140849,5394,43404,2.97,CA,Hispanic or Latino,53459
Corpus Christi,Texas,35,160488,163594,324082,25078,30834,2.69,TX,Asian,9051
Odessa,Texas,31.2,61119,57861,118980,5509,15845,2.92,TX,Asian,2252
Newark,New Jersey,34.6,138040,143873,281913,5829,86253,2.73,NJ,White,76402
Westland,Michigan,39.9,37742,44253,81995,4756,6429,2.41,MI,Hispanic or Latino,2827
Brentwood,New York,34.2,31395,32397,63792,1492,27058,4.98,NY,Asian,1647
Chandler,Arizona,35.6,128885,131948,260833,15870,38721,2.78,AZ,Hispanic or Latino,57159
Fontana,California,29.5,100644,106828,207472,4076,61448,4.15,CA,Asian,14281
Sterling Heights,Michigan,39.6,64985,67077,132062,6970,34313,2.66,MI,Black or African-American,8054
Surprise,Arizona,39.4,62875,65567,128442,11109,9929,2.9,AZ,White,115419
Flower Mound,Texas,40.2,35200,35824,71024,4217,6860,3.01,TX,Black or African-American,3559
Florence-Graham,California,30.2,34186,32173,66359,416,28696,4.57,CA,Black or African-American,5060
Greenville,North Carolina,26.2,39897,50691,90588,4283,4183,2.4,NC,White,50289
Columbia,Missouri,26.8,56544,62554,119098,4548,10729,2.37,MO,Hispanic or Latino,4956
Spring Valley,Nevada,37,96808,97147,193955,10644,61072,2.79,NV,American Indian and Alaska Native,2215
Youngs,Ohio,37.5,30758,33851,64609,3620,1058,2.22,OH,Black or African-American,31725
Rancho Cordova,California,33.8,34844,36182,71026,4590,17020,2.86,CA,American Indian and Alaska Native,1940
